TITLE,PX,PY,DEPTH_TYPE,DEPTH_FLAT,Mglob,Nglob,TOTAL_TIME,PLOT_INTV,PLOT_INTV_STATION,SCREEN_INTV,DX,DY,WAVEMAKER,Tperiod,Xc_WK,AMP_WK,DEP_WK,Yc_WK,Theta_WK,Delta_WK,PERIODIC,DIFFUSION_SPONGE,FRICTION_SPONGE,DIRECT_SPONGE,Csp,Sponge_south_width,Sponge_north_width,Sponge_west_width,Sponge_east_width,Cd,CFL,FroudeCap,MinDepth,VISCOSITY_BREAKING,Cbrk1,Cbrk2,FIELD_IO_TYPE,DEPTH_OUT,ETA,MASK,U,V,STATIONS_FILE,NumberStations,PI_1,PI_2,PI_3,PI_4,PI_5,THORN_1,EPSILON,TAU_1,k,L,kh,failed_checks,COMBO_NUM
DYNAMIC,32,1,FLAT,15.0,9266,3,300.0,1.0,0.1,25.0,0.07347341137560706,0.07347341137560706,WK_REG,2.0,31.226199834633004,0.75,15.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,24.980959867706403,24.980959867706403,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,85.0,0.05,150,1.0060758818642574,6.245239966926601,15.091138227963862,filter_kh,361
DYNAMIC,32,1,FLAT,15.0,5451,3,300.0,1.0,0.1,25.0,0.12490479933853202,0.12490479933853202,WK_REG,2.0,31.226199834633004,0.75,15.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,24.980959867706403,24.980959867706403,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,50.0,0.05,150,1.0060758818642574,6.245239966926601,15.091138227963862,filter_kh,362
DYNAMIC,32,1,FLAT,15.0,3816,3,300.0,1.0,0.1,25.0,0.1784354276264743,0.1784354276264743,WK_REG,2.0,31.226199834633004,0.75,15.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,24.980959867706403,24.980959867706403,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,35.0,0.05,150,1.0060758818642574,6.245239966926601,15.091138227963862,filter_kh,363
DYNAMIC,32,1,FLAT,15.0,9265,3,450.0,1.0,0.1,25.0,0.1653146817979067,0.1653146817979067,WK_REG,3.0,70.25873976411035,0.75,15.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,56.206991811288276,56.206991811288276,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,85.0,0.05,150,0.4471461720118392,14.051747952822069,6.707192580177588,filter_kh,364
DYNAMIC,32,1,FLAT,15.0,5450,3,450.0,1.0,0.1,25.0,0.2810349590564414,0.2810349590564414,WK_REG,3.0,70.25873976411035,0.75,15.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,56.206991811288276,56.206991811288276,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,50.0,0.05,150,0.4471461720118392,14.051747952822069,6.707192580177588,filter_kh,365
DYNAMIC,32,1,FLAT,15.0,3815,3,450.0,1.0,0.1,25.0,0.4014785129377734,0.4014785129377734,WK_REG,3.0,70.25873976411035,0.75,15.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,56.206991811288276,56.206991811288276,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,35.0,0.05,150,0.4471461720118392,14.051747952822069,6.707192580177588,filter_kh,366
DYNAMIC,32,1,FLAT,15.0,9265,3,600.0,1.0,0.1,25.0,0.2935856420390673,0.2935856420390673,WK_REG,4.0,124.77389786660359,0.75,15.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,99.81911829328287,99.81911829328287,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,85.0,0.05,150,0.2517828413879068,24.954779573320717,3.776742620818602,filter_kh,367
DYNAMIC,32,1,FLAT,15.0,5451,3,600.0,1.0,0.1,25.0,0.49909559146641436,0.49909559146641436,WK_REG,4.0,124.77389786660359,0.75,15.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,99.81911829328287,99.81911829328287,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,50.0,0.05,150,0.2517828413879068,24.954779573320717,3.776742620818602,filter_kh,368
DYNAMIC,32,1,FLAT,15.0,3815,3,600.0,1.0,0.1,25.0,0.7129937020948777,0.7129937020948777,WK_REG,4.0,124.77389786660359,0.75,15.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,99.81911829328287,99.81911829328287,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,35.0,0.05,150,0.2517828413879068,24.954779573320717,3.776742620818602,filter_kh,369
DYNAMIC,32,1,FLAT,20.0,9266,3,300.0,1.0,0.1,25.0,0.07347341137560706,0.07347341137560706,WK_REG,2.0,31.226199834633004,1.0,20.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,24.980959867706403,24.980959867706403,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,85.0,0.05,150,1.0060758818642574,6.245239966926601,20.121517637285148,filter_kh,406
