TITLE,PX,PY,DEPTH_TYPE,DEPTH_FLAT,Mglob,Nglob,TOTAL_TIME,PLOT_INTV,PLOT_INTV_STATION,SCREEN_INTV,DX,DY,WAVEMAKER,Tperiod,Xc_WK,AMP_WK,DEP_WK,Yc_WK,Theta_WK,Delta_WK,PERIODIC,DIFFUSION_SPONGE,FRICTION_SPONGE,DIRECT_SPONGE,Csp,Sponge_south_width,Sponge_north_width,Sponge_west_width,Sponge_east_width,Cd,CFL,FroudeCap,MinDepth,VISCOSITY_BREAKING,Cbrk1,Cbrk2,FIELD_IO_TYPE,DEPTH_OUT,ETA,MASK,U,V,STATIONS_FILE,NumberStations,PI_1,PI_2,PI_3,PI_4,PI_5,EPSILON,TAU_1,k,L,kh,failed_checks,COMBO_NUM
DYNAMIC,32,1,FLAT,13.0,7631,3,600.0,1.0,0.1,25.0,0.3558597643109517,0.3558597643109517,WK_REG,4.0,124.5509175088331,0.65,13.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,99.64073400706647,99.64073400706647,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,0.05,150,0.2522336018413508,24.910183501766618,3.2790368239375605,"filter_kh, filter_L70",183
DYNAMIC,32,1,FLAT,13.0,7630,3,750.0,1.0,0.1,25.0,0.542686796889708,0.542686796889708,WK_REG,5.0,189.9403789113978,0.65,13.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,151.95230312911823,151.95230312911823,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,0.05,150,0.16539888314402404,37.98807578227956,2.1501854808723126,filter_L70,184
DYNAMIC,32,1,FLAT,13.0,7630,3,900.0,1.0,0.1,25.0,0.7377966713819706,0.7377966713819706,WK_REG,6.0,258.2288349836897,0.65,13.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,206.58306798695176,206.58306798695176,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,0.05,150,0.12165925055535425,51.64576699673794,1.581570257219605,filter_L70,185
DYNAMIC,32,1,FLAT,14.0,7631,3,300.0,1.0,0.1,25.0,0.08921771381314844,0.08921771381314844,WK_REG,2.0,31.226199834601953,0.7000000000000001,14.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,24.980959867681563,24.980959867681563,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,0.05,150,1.006075881865258,6.245239966920391,14.085062346113611,"filter_kh, filter_L70",196
DYNAMIC,32,1,FLAT,14.0,7631,3,450.0,1.0,0.1,25.0,0.20073838975112052,0.20073838975112052,WK_REG,3.0,70.25843641289218,0.7000000000000001,14.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,56.206749130313746,56.206749130313746,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,0.05,150,0.44714810263174626,14.051687282578436,6.260073436844448,"filter_kh, filter_L70",197
DYNAMIC,32,1,FLAT,14.0,7630,3,600.0,1.0,0.1,25.0,0.35625518496155956,0.35625518496155956,WK_REG,4.0,124.68931473654584,0.7000000000000001,14.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,99.75145178923667,99.75145178923667,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,0.05,150,0.251953638547747,24.937862947309167,3.527350939668458,"filter_kh, filter_L70",198
DYNAMIC,32,1,FLAT,14.0,7630,3,750.0,1.0,0.1,25.0,0.5464996866558463,0.5464996866558463,WK_REG,5.0,191.27489032954617,0.7000000000000001,14.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,153.01991226363694,153.01991226363694,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,0.05,150,0.16424490680283046,38.254978065909235,2.2994286952396266,filter_L70,199
DYNAMIC,32,1,FLAT,14.0,7631,3,900.0,1.0,0.1,25.0,0.748850414143157,0.748850414143157,WK_REG,6.0,262.09764495010495,0.7000000000000001,14.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,209.67811596008397,209.67811596008397,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,0.05,150,0.11986344456425208,52.41952899002099,1.678088223899529,filter_L70,200
DYNAMIC,32,1,FLAT,15.0,7631,3,300.0,1.0,0.1,25.0,0.08921771381323715,0.08921771381323715,WK_REG,2.0,31.226199834633004,0.75,15.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,24.980959867706403,24.980959867706403,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,0.05,150,1.0060758818642574,6.245239966926601,15.091138227963862,"filter_kh, filter_L70",211
DYNAMIC,32,1,FLAT,15.0,7630,3,450.0,1.0,0.1,25.0,0.2007392564688867,0.2007392564688867,WK_REG,3.0,70.25873976411035,0.75,15.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,56.206991811288276,56.206991811288276,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,0.05,150,0.4471461720118392,14.051747952822069,6.707192580177588,"filter_kh, filter_L70",212
